Country,Region,population_millions,pct_adults_15plus,pct_drinkers,Liters_Per_Capita,Production_Volume_M_hl,Avg_Price_USD_2025,Top_5_Brands,Digital_Retail_Points,Review_Snapshot,drinking_population_millions,total_volume_consumed_ml
Botswana,Southern Africa,2.6,58,45,150.0,0.55,1.74,"['St Louis Lager', 'St Louis Export', 'Carling Black Label', 'Castle Lite', 'Windhoek Lager']","['Liquorama App', 'Square Mart Online', 'Sefalana Online Store']",High consumption driven by heat; St Louis is praised as the ultimate 'thirst quencher'. High preference for imported RSA brands.,0.6786,101.78999999999999
Namibia,Southern Africa,2.6,59,42,90.8,3.0,1.6,"['Windhoek Lager', 'Tafel Lager', 'Windhoek Draught', 'Camelthorn', 'Hansa']","['Bottles App', 'Langana Delivery', 'Local Supermarket Apps']",Strict adherence to Reinheitsgebot (Purity Law). Users claim Windhoek gives 'no hangovers' due to lack of additives.,0.64428,58.500623999999995
Gabon,Central Africa,2.4,57,48,78.3,3.0,1.3,"['Regab', 'Castel', '33 Export', 'Guinness', 'Beaufort']","['Glovo', 'Local WhatsApp Vendors', 'Casino Online']",Regab is a national icon. Reviews often mention the '65cl' bottle size as the standard unit of social currency.,0.6566399999999999,51.41491199999999
Seychelles,East Africa,0.1,72,65,77.0,0.12,4.5,"['SeyBrew', 'Eku', 'Guinness', 'Heineken', 'Slow Turtle Cider']","['Seyvillas', 'Hotel Concierge Apps', 'Liquor Shop Delivery']",SeyBrew is synonymous with the island lifestyle. Reviews focus on lightness and freshness.,0.0468,3.6036
South Africa,Southern Africa,60.6,65,43,69.0,35.1,1.5,"['Carling Black Label', 'Castle Lager', 'Hansa Pilsener', 'Flying Fish', 'Heineken']","['Checkers Sixty60', 'Pick n Pay asap!', 'Checkers Sixty60', 'Takealot App']",Highly diverse palate. 'Zamalek' (Carling) is legendary for strength. Massive craft beer sub-culture in Cape Town/Joburg.,16.9377,1168.7013
Angola,Southern Africa,36.7,54,38,33.4,12.0,0.85,"['Cuca', 'Nocal', 'Eka', 'Tigra', 'Doppel Munich']","['Tupuca', 'Socios', 'AngoMart']",Cuca is the undisputed King. Reviews emphasize the need for beer to be served 'stupidly cold' (Estupidamente Gelada).,7.53084,251.530056
Cameroon,Central Africa,28.6,56,35,25.0,9.1,1.25,"['Castel', '33 Export', 'Beaufort Light', 'Isenbeck', 'Guinness']","['Jumia Food', 'Glovo', 'Glotelho', 'DOVV Online']","A 'Guinness Country' - distinct preference for strong, dark, bitter stouts over lagers.",5.6056,140.14
Zimbabwe,Southern Africa,16.7,57,40,22.0,6.5,1.8,"['Zambezi Lager', 'Castle Lager', 'Chibuku (Sorghum)', ""Bohlinger's"", 'Eagle']","['SPAR Zimbabwe', 'Pick n Pay', 'Liquor Supplies Online']","Zambezi is the premium choice for tourists; Chibuku (opaque beer) is the staple for the working class, praised for nutrition.",3.8075999999999994,83.76719999999999
Mozambique,Southern Africa,33.9,53,32,11.9,4.1,1.12,"['2M (Dois M)', 'Laurentina Preta', 'Laurentina Clara', 'Manica', 'Txilar']","['Ubuy Mozambique', 'Dizja']",Laurentina Preta (Dark) is often cited as the best dark lager in Africa. 2M is the standard party beer.,5.74944,68.418336
Tanzania,East Africa,67.4,53,28,8.0,4.69,1.3,"['Kilimanjaro Premium', 'Safari Lager', 'Serengeti', 'Castle Lite', 'Balimi']","['Piki', 'Distro']","Safari Lager is reviewed as 'strong' and 'serious'. Kilimanjaro is the lighter, more refreshing option.",10.002160000000002,80.01728000000001
Uganda,East Africa,48.6,50,35,7.3,4.2,1.2,"['Nile Special', 'Bell Lager', 'Club Pilsener', 'Eagle Lager', 'Guinness']","['Jumia Food', 'Glovo', 'Kikuubo Online']",Nile Special is cult-status. Reviews focus on its high ABV (5.6%) and quality consistency. 'True Reward' is the slogan.,8.504999999999999,62.086499999999994
Kenya,East Africa,55.1,56,30,8.0,4.5,2.3,"['Tusker Lager', 'Tusker Malt', 'White Cap', 'Guinness Smooth', 'Summit Lager']","[""EABL's The Bar"", 'Drinks Vine', 'Dial a Drink Kenya']",Tusker is Kenya. Reviews celebrate the 'Tusker Time' bonding. Rising popularity for Ciders and Lite beers.,9.256800000000002,74.05440000000002
Ghana,West Africa,34.1,57,32,10.0,3.0,1.4,"['Club Premium Lager', 'Star Beer', 'Guinness FES', 'Tale Beer', 'Ruut Extra']","['Tales from Ghana', 'Liqour Junction']","Club Beer is described as 'crisp and distinct'. Guinness Foreign Extra Stout has a massive, loyal following.",6.21984,62.19839999999999
Nigeria,West Africa,223.8,54,25,8.3,17.73,1.15,"['Star Lager', 'Guinness FES', 'Legend Extra Stout', 'Hero', 'Trophy']","['Jumia Food', 'Drinks.ng', 'Glovo']","Huge market for Stout (Guinness/Legend). Star Lager is the standard. Regional loyalty is high (Hero in the East, Trophy in the West).",30.213000000000005,250.76790000000005
Ethiopia,East Africa,126.5,55,30,8.0,12.67,0.95,"['St. George', 'Habesha', 'Walia', 'Dashen', 'Meta']","['Deliver Addis', 'BeU Delivery', 'Habesha App']",Beer is deeply integrated into culture. St. George (Kidame) is iconic. Habesha is praised for its 'Cold Gold' marketing.,20.8725,166.98
